,count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_SF,flag_SH,hot,is_guest_login,land,last_flag,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_courier,service_csnet_ns,service_discard,service_domain_u,service_eco_i,service_ecr_i,service_finger,service_ftp,service_ftp_data,service_http,service_imap4,service_iso_tsap,service_ldap,service_mtp,service_other,service_pop_3,service_private,service_smtp,service_systat,service_telnet,service_uucp,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment,prediction
0,229,0.06,0,255,0.06,1.0,0.0,0.04,0.0,10,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.04,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.0,1.0,0.0,0,0,0,0
1,136,0.06,0,255,0.06,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0,0,0,0
2,1,0.0,0,134,0.04,0.0,0.61,0.61,0.0,86,0.02,0.0,0.0,2,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12983,1,0.0,0.0,0.0,0,0,0,1
3,1,0.0,0,3,0.0,0.0,1.0,1.0,0.0,57,0.28,0.0,0.0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0.0,0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,65,1.0,0.0,0.0,0,0,0,0
4,1,0.0,15,29,0.17,0.83,0.03,0.31,0.0,86,0.02,0.71,0.0,1,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,1.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0.75,0.5,0.12,0,0,0,1
5,4,0.0,14515,155,0.0,0.0,0.01,1.0,0.01,255,0.03,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,267,4,0.0,0.0,0.0,0,0,0,1
6,1,0.0,387,255,0.72,0.72,0.0,0.11,0.0,28,0.0,0.04,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1022,3,1.0,0.0,0.0,0,0,0,1
7,1,0.0,174,255,0.0,0.02,0.0,1.0,0.01,255,0.0,0.02,0.01,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,1,0.0,0.0,0.0,0,0,0,1
8,33,0.0,467,151,0.0,0.0,0.01,1.0,0.0,255,0.03,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,327,47,0.04,0.0,0.0,0,0,0,1
9,1,0.0,157,52,0.08,0.0,0.02,0.5,0.0,26,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,1,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0.0,0.0,0.0,0,0,0,1
10,1,0.0,0,255,0.01,0.66,0.0,0.5,0.0,128,0.0,0.32,0.0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,1
11,1,0.0,330,255,0.03,0.33,0.0,0.51,0.0,129,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,616,2,1.0,0.0,0.0,0,0,0,1
12,111,0.07,0,255,0.07,1.0,0.0,0.01,0.0,2,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,1.0,0.0,0,0,0,0
13,120,0.0,0,235,0.07,0.02,0.0,0.73,0.69,171,0.0,0.0,0.95,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,0.0,0.0,1.0,0,0,0,0
14,1,0.0,364200,38,0.05,0.0,0.03,0.16,0.0,73,0.04,0.07,0.77,37,0,0,0,0,1,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,773,1,0.0,0.0,0.0,0,0,0,1
15,8,0.0,3610,71,0.0,0.0,0.01,1.0,0.0,255,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,350,8,0.0,0.0,0.0,0,0,0,1
16,24,0.0,659,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,213,24,0.0,0.0,0.0,0,0,0,1
17,16,0.0,2090,35,0.0,0.0,0.03,1.0,0.0,255,0.05,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,246,16,0.0,0.0,0.0,0,0,0,1
18,505,0.0,44,255,0.0,0.0,1.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,505,0.0,0.0,0.0,0,0,0,1
19,204,0.07,0,255,0.07,1.0,0.0,0.07,0.0,18,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0.0,1.0,0.0,0,0,0,0
20,118,0.05,0,255,0.05,1.0,0.0,0.07,0.0,19,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0.0,1.0,0.0,0,0,0,0
