,index,Class,Text
0,15,Household,"SAF Flower Print Framed Painting (Synthetic, 13.5 inch x 22 inch, UV Textured, Set of 3, SANFSW4951) Color:Multicolor                                                                                 |                            Size:35 cm x 50 cm x 2 cm   A beautiful painting involves the action or skill of using paint in the right manner, hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the saf wood matte painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a good quality frame and will last for a long period. However, it does not include glass along with the frame."
1,37,Household,"SAF 'Radha Krishna' Wall Painting (Synthetic, 30 cm x 30 cm x 2 cm) Overview a beautiful painting involves the action or skill of using paint in the right manner; hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the saf wood matte abstract painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it. You can gift this to a family or a friend. The painting has various forms of certain figures on it as seen in the image. You can add a good set of lights to the place where the painting is and the decor will give a different feel and look to the place. Quality and durability the painting has a matte finish and includes a frame and will last for a long period. However, it does not include glass along with the frame."
4,79,Household,"Bikri Kendra Paper Friends Poster(30x45cm, Multicolour) For more attractive POSTER search BIKRIKENDRA. presents good quality paper print poster,decorate your walls with this poster,easy to frame and makes a great gift too,ships quickly and safely in a sturdy protective tube,Decorate and give a classic look to your room with this poster from the house of BIKRIKENDRA. This poster is one of the beautiful things to decorate your room with. Poster is digitally printed on photographic 3 gsm paper resulting in vivid, pure colour and exceptional detail that is suitable for any office, cafes & home. Good Quality. Perfect for Framing. Finding that perfect piece to match your interest and style is easy. This package contains one 18 x 12 inch full colour poster."
6,140,Household,"Generic 10m Stretchy Elastic Cord Clear Round for Beading Necklaces Bracelet Spool - clear, 1.0mm Size:1.0mm                                                                                 |                            Color Name:clear   Description:Product:Elastic ThreadEssential Item for Jewellery Making Elastic and Stretch Features, Not Easy to Be Cracked Crystal and Clear Design to Make Your DIY Accessories More Delicate and Fashion Six Size Available to Choose:0.4mm,0.5mm,0.6mm,0.7mm,0.8mm,1.0mm Specification:Cord Length:10m Material:Elastic Line Package Includes:1*Elastic Thread Note:Note:Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above. Meanwhile, please be reminded that due to lighting effects, monitor's brightness / contrast settings etc, there could be some slight differences in the color tone of the pictures and the actual item."
7,156,Household,"ROSENICE 10 Yard 1.5mm Genuine Black Round Leather Cords for Bracelet Necklace Beading Jewelry Making DescriptionThis is a roll of leather cord for jewelry making. Made from premium quality cowhide leather. Genuine Leather Round Cord is a perfect material for bracelet, necklace and macrame jewelry projects. The leather surface is smooth and is very easy to manipulate.Feature- Color: Black.- Material: Leather.- Size: 910x0.15x0.15cm.- Genuine Leather Round Cord is a perfect material for bracelet, necklace and macrame jewelry projects.- Made from premium quality cowhide leather.- The leather surface is smooth and is very easy to manipulate.- Diy your own jewelry for giving as a special gift!Package Including1 x roll of leather cord"
8,157,Household,"solaris 10m Waxed Nylon Thread Cord String for Necklace Bracelet Jewelry Hand Sewing String Beading DIY 1.5mm Dark Grey Description:Material: NylonLength: about 10m/11yard; Cord diameter: about 1.5mm/0.06inchWith fine and smooth surface Tightly woven and knotted into DIY bracelet, necklace, string beading, hand sewing, leatherwork, necklace and jewelry making.Ideal for your handmade DIY craftsPackage Includes:10 Meter Waxed StringNote:Please be reminded that due to lighting effects, monitor's brightness / contrast settings etc, there could be some slight differences in the color tone of the pictures and the actual item."
10,224,Household,"Gatsby Leather Styling Wax, Hard And Free, 75g For trendy young men who want to create hairstyles that suit their personality.Long-lasting effect. It has a re-styling ability. Perfect for a modern and British style with texture. Can give the hair active movement with styling abilities to flow, bundle and make the hair stand up in a subtle manner. Creates a MESSY SCRUNCH Hairstyle which has more texture and flow. Arrange desired Hairstyle without stiffness and stickiness."
11,260,Household,"anshatrandcraft Candle Making Wicks 5 Inches Wick- 50 Pieces Color Name:5"" Wick 50 Pcs   A candle wick is a piece of string or cord that retains the flame of a candle . A fine standard with consistent burning candle is dependent on the and size of wick .candle wicks are commonly made up of braided cotton . Wick comes in various sizes according to your requirement ."
14,332,Household,"KABEER ART Pottery Tool Kit with Sponge (Biege) - 8 Pieces This pottery tool kit includes all of the basic pottery tools required for the professional as well as the beginner. The kit contain loop tool, needle tool, ribbon tool, scraper, potter's rib, wood modeling tool, sponge and wire cutter."
15,339,Household,"Lotus Herbals Ecostay Kajal, 1.2g The formula gives smooth-powdery intense color pay-off combined with excellent blendability and waterproof long lastingness."
