Rank,Airport,Location,Country,Code(IATA/ICAO),Totalpassengers,Rankchange,%change,latitude,longitude
1.0,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,75537213,1,76.4%,33.63779875,-84.42927118585675
2.0,Dallas Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,DFW/KDFW,62465756,2,58.7%,32.896801,-97.038002
3.0,Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,58828552,5,74.4%,39.861698150635,-104.672996521
4.0,O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,54020399,9,75.1%,41.97795725,-87.90920910980722
5.0,Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,48007284,10,66.8%,33.94250107,-118.4079971
6.0,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,43302230,12,59.2%,35.2140007019043,-80.94309997558594
7.0,Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,40351068,20,86.7%,28.429399490356445,-81.30899810791016
8.0,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,40249679,7,8.0%,23.39240074157715,113.29900360107422
9.0,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,CTU/ZUUU,40117496,6,1.5%,30.578500747680664,103.9469985961914
10.0,Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS/KLAS,39710493,12,78.6%,36.0861034,-115.16111989849915
11.0,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX/KPHX,38846713,15,77.2%,33.43429946899414,-112.01200103759766
12.0,Miami International Airport,"Miami-Dade County, Florida",United States,MIA/KMIA,37302456,26,99.9%,25.79319953918457,-80.29060363769531
13.0,Indira Gandhi International Airport,Delhi,India,DEL/VIDP,37139957,3,30.3%,28.5665,77.103104
14.0,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,36988563,6,58.5%,41.275278,28.751944
